Postcode,Type,Latitude,Longitude,Capacity_MW,State
2207,Solar,-33.948744,151.119517,1.1295,NSW
2208,Solar,-33.942632,151.098002,1.335,NSW
2211,Solar,-33.961366,151.03221,0.4754,NSW
2212,Solar,-33.947286,151.014547,2.8152,NSW
2213,Solar,-33.964102,150.997836,0.5268,NSW
2214,Solar,-33.941443,150.981592,0.3523,NSW
2217,Solar,-33.974354,151.140345,3.2712,NSW
2223,Solar,-33.980264,151.071837,1.1046,NSW
2229,Solar,-34.05505669,151.1196698,0.7501,NSW
2229,Solar,-34.05494,151.120091,4.5006,NSW
2230,Bioenergy,-34.093213,151.136596,4.175,NSW
2230,Bioenergy,-34.0360001,151.1636097,0.835,NSW
2231,Solar,-34.029927,151.193492,0.278,NSW
2232,Solar,-34.1336,151.1041,0.7129000000000001,NSW
2232,Solar,-34.125,151.0556,0.7129000000000001,NSW
2232,Solar,-34.1231,151.0243,0.7129000000000001,NSW
2232,Solar,-34.1116,151.1176,0.7129000000000001,NSW
2232,Solar,-34.1016,151.0852,0.7129000000000001,NSW
2232,Solar,-34.0932,151.1444,0.7129000000000001,NSW
2232,Solar,-34.0882,151.124,0.7129000000000001,NSW
2232,Solar,-34.0859,151.0844,0.7129000000000001,NSW
2232,Solar,-34.079,151.0285,0.7129000000000001,NSW
2232,Solar,-34.061753,151.064329,5.703200000000001,NSW
2232,Solar,-34.034,151.071,0.7129000000000001,NSW
2234,Bioenergy,-34.021938,151.004412,153.44,NSW
2234,Solar,-34.021938,151.004412,4.4744,NSW
2250,Solar,-33.4220092,151.3236249,6.0694,NSW
2250,Solar,-33.325373,151.189243,212.429,NSW
2251,Bioenergy,-33.482209,151.401999,12.768,NSW
2251,Solar,-33.482209,151.401999,2.0423999999999998,NSW
2256,Bioenergy,-33.482123,151.331154,10.64,NSW
2256,Solar,-33.482123,151.331154,4.531,NSW
2257,Solar,-33.520358,151.374403,3.3180000000000005,NSW
2258,Solar,-33.333187,151.3433,1.046,NSW
2259,Bioenergy,-33.29381251,151.4552558,2.246,NSW
2259,Bioenergy,-33.208801,151.377213,83.102,NSW
2259,Bioenergy,-33.20712254,151.4435371,2.246,NSW
2259,Bioenergy,-33.20316723,151.4724539,2.246,NSW
2259,Bioenergy,-33.20066983,151.5934949,2.246,NSW
2259,Bioenergy,-33.17122783,151.6212133,2.246,NSW
2259,Bioenergy,-33.17074569,151.5568306,2.246,NSW
2259,Solar,-33.29381251,151.4552558,5.3666,NSW
2259,Solar,-33.208801,151.377213,198.5642,NSW
2259,Solar,-33.20712254,151.4435371,5.3666,NSW
2259,Solar,-33.20316723,151.4724539,5.3666,NSW
2259,Solar,-33.20066983,151.5934949,5.3666,NSW
2259,Solar,-33.17122783,151.6212133,5.3666,NSW
2259,Solar,-33.17074569,151.5568306,5.3666,NSW
2260,Solar,-33.42537,151.436939,1.7294999999999998,NSW
2261,Solar,-33.315827,151.519708,29.831200000000003,NSW
2261,Solar,-33.30022987,151.5350654,2.1308000000000002,NSW
2263,Solar,-33.285097,151.556223,26.9206,NSW
2264,Solar,-33.106675,151.533807,3.5322000000000005,NSW
2280,Solar,-33.019715,151.663175,3.0064,NSW
2281,Solar,-33.11864875,151.6230663,0.288,NSW
2281,Solar,-33.11801816,151.6356541,0.288,NSW
2281,Solar,-33.089963,151.668857,2.88,NSW
2282,Solar,-32.987279,151.651275,0.45120000000000005,NSW
2283,Bioenergy,-33.019117,151.57181,12.75,NSW
2284,Bioenergy,-32.953236,151.621183,21.77,NSW
2284,Solar,-32.953236,151.621183,4.7824,NSW
2285,Solar,-32.933305,151.651095,5.6917,NSW
2287,Bioenergy,-32.9022,151.667,2.2,NSW
2287,Bioenergy,-32.892577,151.65807,19.8,NSW
2287,Solar,-32.9022,151.667,6.486,NSW
2287,Solar,-32.892577,151.65807,58.374,NSW
2289,Solar,-32.948567,151.71008,10.966899999999999,NSW
2290,Solar,-32.983963,151.707801,11.048,NSW
2300,Solar,-32.931635,151.778021,1.5285000000000002,NSW
2304,Solar,-32.880319,151.73862,2.1189,NSW
2305,Solar,-32.930221,151.706545,7.195499999999999,NSW
2307,Solar,-32.88365,151.688102,0.8009,NSW
2311,Hydro,-32.3438,151.522527,2.42,NSW
2311,Hydro,-32.14597291,151.4607343,0.22,NSW
2315,Solar,-32.746224,152.193698,1.721,NSW
2316,Solar,-32.776919,152.083274,1.0128,NSW
2317,Solar,-32.720937,152.076399,2.452,NSW
2319,Solar,-32.75944213,151.990451,0.199,NSW
2319,Solar,-32.730927,152.039551,0.597,NSW
2320,Solar,-32.741737,151.543675,85.197,NSW
2321,Solar,-32.660186,151.683702,13.3056,NSW
2322,Solar,-32.819819,151.65415,4.5819,NSW
2322,Solar,-32.75469624,151.636919,0.5091,NSW
2323,Solar,-32.86516329,151.4971864,1.9172,NSW
2323,Solar,-32.794605,151.587482,1.9172,NSW
2323,Solar,-32.76212,151.589182,1.9172,NSW
2323,Solar,-32.757616,151.607554,24.9236,NSW
2324,Bioenergy,-32.71798998,151.7752919,1.123,NSW
2324,Bioenergy,-32.623108,152.332617,28.075,NSW
2324,Solar,-32.71798998,151.7752919,0.3358,NSW
2324,Solar,-32.623108,152.332617,8.395,NSW
2325,Bioenergy,-33.07063333,151.1527466,0.065,NSW
2325,Bioenergy,-33.06159524,151.1218262,0.065,NSW
2325,Bioenergy,-33.05409347,151.176502,0.065,NSW
2325,Bioenergy,-33.052927,150.889563,0.065,NSW
2325,Bioenergy,-33.03362627,151.3131147,0.065,NSW
2325,Bioenergy,-33.0239,150.9134,0.065,NSW
2325,Bioenergy,-33.01498358,150.9115105,0.065,NSW
2325,Bioenergy,-32.977861,151.317476,1.7550000000000001,NSW
2325,Bioenergy,-32.95034059,151.2187761,0.065,NSW
2325,Bioenergy,-32.88882897,151.2826072,0.065,NSW
2325,Bioenergy,-32.84785687,151.3306441,0.065,NSW
2325,Bioenergy,-32.8442,151.376514,0.065,NSW
2325,Solar,-33.07063333,151.1527466,12.6098,NSW
2325,Solar,-33.06159524,151.1218262,12.6098,NSW
2325,Solar,-33.05409347,151.176502,12.6098,NSW
2325,Solar,-33.052927,150.889563,12.6098,NSW
2325,Solar,-33.03362627,151.3131147,12.6098,NSW
2325,Solar,-33.0239,150.9134,12.6098,NSW
2325,Solar,-33.01498358,150.9115105,12.6098,NSW
2325,Solar,-32.977861,151.317476,340.4646,NSW
2325,Solar,-32.95034059,151.2187761,12.6098,NSW
2325,Solar,-32.88882897,151.2826072,12.6098,NSW
2325,Solar,-32.84785687,151.3306441,12.6098,NSW
2325,Solar,-32.8442,151.376514,12.6098,NSW
2326,Solar,-32.785207,151.453148,1.8144,NSW
2330,Bioenergy,-32.975222,151.013495,11.69,NSW
2330,Bioenergy,-32.760486,150.972137,724.78,NSW
2330,Bioenergy,-32.5645,151.168,11.69,NSW
2330,Bioenergy,-32.48897756,151.4082526,11.69,NSW
2330,Solar,-32.975222,151.013495,3.8056,NSW
2330,Solar,-32.760486,150.972137,235.9472,NSW
2330,Solar,-32.5645,151.168,3.8056,NSW
2330,Solar,-32.48897756,151.4082526,3.8056,NSW
2333,Bioenergy,-32.248568,150.701949,28000.0,NSW
2333,Solar,-32.248568,150.701949,5.3186,NSW
2335,Solar,-32.65496591,151.3646647,0.3025,NSW
2335,Solar,-32.642118,151.319414,2.7225,NSW
2337,Hydro,-31.966754,151.080412,137.5,NSW
2337,Hydro,-31.8361872,150.8688403,5.5,NSW
2340,Hydro,-31.59995012,151.2837764,7.2,NSW
2340,Hydro,-31.42224232,150.9613571,7.2,NSW
2340,Hydro,-31.38694998,151.2028813,7.2,NSW
2340,Hydro,-31.333592,151.138322,259.2,NSW
2340,Hydro,-31.11113844,150.9217762,7.2,NSW
2340,Solar,-31.59995012,151.2837764,5.249199999999999,NSW
2340,Solar,-31.42224232,150.9613571,5.249199999999999,NSW
2340,Solar,-31.38694998,151.2028813,5.249199999999999,NSW
2340,Solar,-31.333592,151.138322,188.9712,NSW
2340,Solar,-31.11113844,150.9217762,5.249199999999999,NSW
2341,Solar,-31.34664,150.611053,6.357,NSW
2350,Hydro,-30.5016,151.666,4.8,NSW
2350,Hydro,-30.493397,151.906153,172.79999999999998,NSW
2350,Hydro,-30.49,151.641,4.8,NSW
2350,Hydro,-30.115913,151.673028,4.8,NSW
2350,Solar,-30.5016,151.666,151.6169,NSW
2350,Solar,-30.493397,151.906153,5458.2084,NSW
2350,Solar,-30.49,151.641,151.6169,NSW
2350,Solar,-30.115913,151.673028,151.6169,NSW
2358,Solar,-30.540297,151.297519,5746.348300000001,NSW
2360,Hydro,-29.80983727,151.1991959,20.0,NSW
2360,Hydro,-29.74182058,151.314883,20.0,NSW
2360,Hydro,-29.66963849,151.1474963,20.0,NSW
2360,Hydro,-29.630052,151.162025,480.0,NSW
2360,Solar,-29.80983727,151.1991959,0.6023000000000001,NSW
2360,Solar,-29.74182058,151.314883,0.6023000000000001,NSW
2360,Solar,-29.66963849,151.1474963,0.6023000000000001,NSW
2360,Solar,-29.630052,151.162025,14.4552,NSW
2361,Hydro,-29.198493,151.141751,27.0,NSW
2370,Solar,-29.8315,151.4928,0.2094,NSW
2370,Solar,-29.736171,151.869397,5.0256,NSW
2370,Solar,-29.70222047,151.4677895,0.2094,NSW
2380,Solar,-31.046117,150.199154,2322.828,NSW
2390,Solar,-30.413331,149.767538,3.8024999999999998,NSW
2390,Solar,-30.11226482,150.27558,0.2925,NSW
2390,Solar,-29.99938637,150.2598195,0.2925,NSW
2390,Solar,-29.96557013,150.1146539,0.2925,NSW
2400,Solar,-29.474921,149.462148,736.41,NSW
2409,Solar,-28.76070035,150.5515363,13.5784,NSW
2409,Solar,-28.707837,150.185847,13.5784,NSW
2420,Hydro,-32.45449922,151.6709688,0.24,NSW
2420,Hydro,-32.45415227,151.7352991,0.24,NSW
2420,Hydro,-32.42249509,151.7323463,0.24,NSW
2420,Hydro,-32.41767413,151.6835195,0.24,NSW
2420,Hydro,-32.38124101,151.6912683,0.24,NSW
2420,Hydro,-32.37931999,151.8123007,0.24,NSW
2420,Hydro,-32.239696,151.685456,5.28,NSW
2422,Solar,-32.22050122,152.0443123,0.1946,NSW
2422,Solar,-32.06617564,151.6196186,0.1946,NSW
2422,Solar,-31.973082,151.865806,9.5354,NSW
2422,Solar,-31.85785497,152.0057689,0.1946,NSW
2422,Solar,-31.70736492,151.9042773,0.1946,NSW
2422,Solar,-31.68852751,151.572082,0.1946,NSW
2422,Solar,-31.64114923,151.8000688,0.1946,NSW
2428,Solar,-32.3182948,152.4392095,0.6033,NSW
2428,Solar,-32.2526026,152.4900719,0.6033,NSW
2428,Solar,-32.2197804,152.4166347,0.6033,NSW
2428,Solar,-32.196739,152.454216,10.8594,NSW
2430,Solar,-31.94592129,152.5901573,0.4618,NSW
2430,Solar,-31.899311,152.503209,18.0102,NSW
2430,Solar,-31.8895,152.444,0.4618,NSW
2430,Solar,-31.78951,148.80671,0.4618,NSW
2430,Solar,-31.74718966,152.5759597,0.4618,NSW
2440,Solar,-31.04846286,152.8052748,1.0045,NSW
2440,Solar,-30.375791,153.019648,49.2205,NSW
2443,Solar,-31.8004,152.731,0.2682,NSW
2443,Solar,-31.725436,152.747152,5.0958,NSW
2444,Solar,-31.439614,152.87253,12.3876,NSW
2448,Solar,-30.604667,152.956681,1.042,NSW
2450,Solar,-30.37491129,153.0171326,4.2057,NSW
2450,Solar,-30.2986,153.109,4.2057,NSW
2450,Solar,-30.097726,152.658268,79.9083,NSW
2450,Solar,-30.03087806,153.0454187,4.2057,NSW
2456,Solar,-30.073663,153.143409,2.462,NSW
2456,Solar,-29.98905156,153.1435857,0.2462,NSW
2460,Bioenergy,-29.97432556,152.4286001,0.45,NSW
2460,Bioenergy,-29.71470149,152.8987118,0.45,NSW
2460,Bioenergy,-29.6529587,152.9042877,0.45,NSW
2460,Bioenergy,-29.59259196,152.9719541,0.45,NSW
2460,Bioenergy,-29.50466146,152.7265162,0.45,NSW
2460,Bioenergy,-29.37235419,152.9337745,0.45,NSW
2460,Bioenergy,-29.320772,153.271074,40.050000000000004,NSW
2460,Bioenergy,-29.29582566,152.3812776,0.45,NSW
2460,Bioenergy,-29.16162008,152.6683015,0.45,NSW
2460,Hydro,-29.97432556,152.4286001,6.0,NSW
2460,Hydro,-29.71470149,152.8987118,6.0,NSW
2460,Hydro,-29.6529587,152.9042877,6.0,NSW
2460,Hydro,-29.59259196,152.9719541,6.0,NSW
2460,Hydro,-29.50466146,152.7265162,6.0,NSW
2460,Hydro,-29.37235419,152.9337745,6.0,NSW
2460,Hydro,-29.320772,153.271074,534.0,NSW
2460,Hydro,-29.29582566,152.3812776,6.0,NSW
2460,Hydro,-29.16162008,152.6683015,6.0,NSW
2460,Solar,-29.97432556,152.4286001,0.6660999999999999,NSW
2460,Solar,-29.71470149,152.8987118,0.6660999999999999,NSW
2460,Solar,-29.6529587,152.9042877,0.6660999999999999,NSW
2460,Solar,-29.59259196,152.9719541,0.6660999999999999,NSW
2460,Solar,-29.50466146,152.7265162,0.6660999999999999,NSW
2460,Solar,-29.37235419,152.9337745,0.6660999999999999,NSW
2460,Solar,-29.320772,153.271074,59.2829,NSW
2460,Solar,-29.29582566,152.3812776,0.6660999999999999,NSW
2460,Solar,-29.16162008,152.6683015,0.6660999999999999,NSW
2465,Bioenergy,-29.412622,153.243897,4.5,NSW
2470,Solar,-28.96944545,152.8044053,0.434,NSW
2470,Solar,-28.92786,152.749759,11.718,NSW
2470,Solar,-28.86319554,153.1327208,0.434,NSW
2470,Solar,-28.80567926,152.884752,0.434,NSW
2470,Solar,-28.72398401,152.7930951,0.434,NSW
2472,Bioenergy,-29.24528677,153.3348699,38.0,NSW
2472,Bioenergy,-29.16962735,153.3822626,38.0,NSW
2472,Bioenergy,-29.156771,153.303855,266.0,NSW
2472,Bioenergy,-29.129936,153.254699,38.0,NSW
2472,Bioenergy,-29.114599,153.33769,38.0,NSW
2478,Solar,-28.865483,153.532475,13.248,NSW
2478,Solar,-28.838,153.563,0.8832,NSW
2478,Solar,-28.79173459,153.5470004,0.8832,NSW
2480,Hydro,-28.8087,153.27,0.065,NSW
2480,Hydro,-28.79348867,153.3015018,0.065,NSW
2480,Hydro,-28.77409502,153.3781843,0.065,NSW
2480,Hydro,-28.706486,153.25943,4.615,NSW
2480,Hydro,-28.53337677,153.2789657,0.065,NSW
2480,Solar,-28.8087,153.27,0.7851,NSW
2480,Solar,-28.79348867,153.3015018,0.7851,NSW
2480,Solar,-28.77409502,153.3781843,0.7851,NSW
2480,Solar,-28.706486,153.25943,55.7421,NSW
2480,Solar,-28.53337677,153.2789657,0.7851,NSW
2481,Solar,-28.67562041,153.5822528,1.0755000000000001,NSW
2481,Solar,-28.660756,153.592843,8.604000000000001,NSW
2484,Bioenergy,-28.38059,153.31648,1856.4,NSW
2484,Bioenergy,-28.33713735,153.4165936,33.15,NSW
2484,Bioenergy,-28.3323,153.383,33.15,NSW
